Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours
KARIBAREHBI,-13.9,25.0333,North-Western Province,North-Western Province,North-Western,Kalengua Area,North-Western Province,49 KM south of kalengua,Copper,Gold,,INACTIVE,NIL,EPIGENETIC SEDIMENT-HOSTED GOLD AND COPPER,"Minerals: Copper, Diamond",340.6685729,4.866693898
D:\RJ1,-13.9167,24.8333,North-Western Province,North-Western Province,North-Western,Kalengua Area,North-Western Province,53 KM SW of kalengua,Copper,Gold,,INACTIVE,NIL,VEIN COPPER,SUPERGENE ENRICHED.,360.9491852,5.156416931
CHIHEMA,-13.9333,24.8833,North-Western Province,North-Western Province,North-Western,Icalengua Area,North-Western Province,52 KM SSW of kalengua,Copper,,,INACTIVE,NIL,STRATIFORM VEIN COPPER - SUPERGENE ENRICHED,"Rock types: SANDSTONE, QUARTZITE; Mineralization: COPPER, MALACHITE, DIAMOND.",356.8551265,5.097930379
MUFUNBUE,-25,24.7833,Northern Province,Kalengua Area,Northern > Kalengua Area,Kalengua Area,Kalengua Area,30 KM SW of kalengua,Copper,Silver,,INACTIVE,"CONSERVATIVELY ESTIMATED BY FREEMAN (1988) AT 7.22 MILLION TONNES GRADING 2.2X COPPER, CONTAINED IN FIVE DEPOSITS: MUFUNBUE EAST, 4.1 MILLION TONNES a 2.4X COPPER; NO. 2, 1.5 MILLION TONNES a 1.5X COPPER; NO. 3, 1.5 MILLION TONNES a 2.5X COPPER; NO.4, 0.075 MILLION TONNES a 2.6X COPPER; NO. 5, 0.05 MILLION TONNES a 3.0X COPPER. WITHIN MUFUNBUE EAST THERE IS A SECTION OF HIGH-GRADE WHICH COMPRISES 0.5 MILLION TONNES a 3.7X COPPER.",STRATIFORM COPPER - SUPERGENE ENRICHED,"Rock types: QUARTZITE; Mineralization: COPPER, MALACHITE, CHALCOPYRITE.",1423.143406,20.33062008
MUSONDUEJI,-13.2536,24.7569,North-Western Province,North-Western Province,North-Western,Embraces The Musondueji River North Of The Dongue River,North-Western Province,The kalengua mine road runs along the west side of the PL,Diamond,Copper,,INACTIVE,UNKNOWN,DIAMOND OCCURRENCE,"Rock types: GRANITE, SHALE; Mineralization: DIAMOND; Formation: THE AREA IS UNDERLAIN BY KATANGA SUPERGROUP.",344.6911818,4.92415974
ALAFUTA AND DONGUE BERYL,-13.5039,23.5069,North-Western Province,North-Western Province,North-Western,General Area Of The Dongue And Lalafuta Rivers,North-Western Province,Central part of the area is 40 KM south of kabohpo,Beryl,,,INACTIVE,MIL,PEGMATITE,"SMALL CRYSTALS OF BERYL ARE REPORTED IN PEGMATITES AT SEVERAL LOCALITIES INCLUDING: DONGUE 2, ON THE...",482.7208594,6.896012276
KANNEJI,-13.8833,24.3667,North-Western Province,Kabompo,North-Western > Kabompo,35 Km Se Of Kabompo,Kabompo,82 KM sm of kalekuna,Copper,,,INACTIVE,NIL,STRATIFORM COPPER,"Rock: Sandstone, Quartzite; Minerals: Copper",405.8531639,5.797902341
KASEMPA (LUBUFU) GROUP,-13.0039,25.7572,North-Western Province,Kasempa,North-Western > Kasempa,Nine Deposits Are Within 3 Km Of The Kasempa-Munsua Road,Kasempa,Within 40 KM of Kasempa,Iron,,,INACTIVE,ESTIMATED OPEN PITTABLE TO 150 H AT A MASTERORE RATIO OF 4:1 BY ANGLO AMERICAN: 229 MILLION T B 66X FE IN 10 DEPOSITS SOUTHEAST OF KASEMPA AND IN EASY RANGE OF THE KASEMPA-MUNSUA ROAD. THE OTHER DEPOSITS IN THE AREA WOULD ADD CONSIDERABLE ADDITIONAL TOWNAGE.,REPLACEMENT-TYPE IRON FORMATION,"Rock types: GRANITE; Mineralization: COPPER, IRON, MAGNETITE; Formation: THE GROUP.",232.9048972,3.327212817
JIKAMBO,-13.5,25.3167,North-Western Province,North-Western Province,North-Western,Kalengua Area,North-Western Province,15 KM ESE of kalengua,Copper,,,INACTIVE,MIL,INTRUSIVE-HOSTED EPIGENETIC COPPER - SUPERGENE ENRICHED,"Mineralization: COPPER, CHALCOPYRITE, PYRITE.",294.7507109,4.210724442
KALENGUA,-27,25,Northern Province,Nw,Northern > Nw,Nw,Nw,40 <m south of the Kalulushi Kabompo road,,Copper,,INACTIVE,INACTIVE,"THE OREBOOY HAS A NORTH-NORTHWESTERLY PLUNGE AND HAS NOT BEEN DRILLED TO DEPTH IN THAT DIRECTION FOR EXAMPLE, HOLE NUMBER MF 354, OFF THE NORTHEAST END OF THE PIT, INTERSECTED 195 METRES GRADING 75X CU AN ESTIMATED MINERAL INVENTORY FOR MINERALIZATION OUTSIDE AMD BEYOND THE CURRENT PIT (1090 LEVEL) AT 410,000 TONNES GRADING 374X CU (INCLUDING 045X OXIDE CU) THIS ORE IS LOCATED IN THREE AREAS; (1) BELOW THE PIT FLOOR: 226,000 TONNES GRADING 331X CU (INCLUDING 021X OXIDE CU); (2) CONGLOMERATE-NORTH WALL: 104,500 TONNES GRADING 388X CU (INCLUDING 078X OXIDE CU); (3) LIMESTONE MARKER: 79,500 TONNES GRADING 374X CU (INCLUDING 074X OXIDE CU) THE CONGLOMERATE-NORTH WALL MATERIAL EXTENDS NORTH FROM THE PIT THE LIMESTONE MARKER ESTIMATE MUST BE CONSIDERED CONSERVATIVE BECAUSE MINERALIZED MATERIAL BELOW NORTHERN SECTIONS HAVE NOT BEEN INCLUDED EDGAR (1977) REFERS TO A 40 METRE LONG ADIT ,WHICH, WA$ DRIVEN FROM THE 1140 LEVEL, AND FROM WHICH SCME DIAMOND DRILLING WAS COMPLETED UNFORTUNATELY THE PLANS AND SECTIONS FROM THE FINAL WORK WERE NOT AVAILABLE IF THEY CAN NOT BE FOUND, THE DATA SHOULD BE RE-COMPILED AND AN ESTIMATE MADE OF THE REMAINING MINERAL INVENTORY WIGHTMAN (1974)",SUPERGENE ENRICHMENT OF A STRATIFORM (?) PROTOLITH.,1635.836534,23.36909334
M75/O,-13.3333,25.1,North-Western Province,North-Western Province,North-Western,2 Km East Of The Kalengua Kalulushi Road,North-Western Province,17 KM NE of kalengua,Copper,,,INACTIVE,MIL,SUPERGENE ENRICHED SEDIMENTARY COPPER DEPOSIT,"Mineralization: COPPER, DIAMOND.",311.0186954,4.44312422
MINENBA,-13.4333,25.0167,North-Western Province,North-Western Province,North-Western,Kalengua Area,North-Western Province,4 KM NE of kalengua,Copper,,,INACTIVE,"A RESOURCE OF 150,000 TONNES GRADING 1.4X COPPER ON THE MAIN OCCURRENCE (FREEMAN, 1988-2).",EPIGENETIC BRECCIA-MOSTED COPPER DEPOSIT IN AN ALTERED MAFIC BODY,"Mineralization: COPPER, CHALCOPYRITE, PYRITE.",322.8943688,4.612776697
UPPER DOMGUE,-13.0036,25.1736,North-Western Province,Kasempa,North-Western > Kasempa,"Headwaters Of The Domgue And Misondweji,Rivers West Of Kasempa",Kasempa,The kanana-Kabompo rd. Forms north edge of the PL and it adjoins the musondweji PL to the west,Diamond,Copper,,INACTIVE,NIL,RARE OCCURRENCE OF KIMBERLITE INDICATOR MINERALS,THE AREA IS UNDERLAIN BY MAINLY UPPER KATANGA ROCKS. THERE DO NOT APPEAR TO BE KIMBERLITES IN THE AREA.,294.9135489,4.213050698
KANGORA-1 AND WESTERN QUEEN,-13.8167,25.1833,North-Western Province,Kasempa,North-Western > Kasempa,Kasempa Salient,Kasempa,74 KM SW of Kasempa,Copper,Gold,,INACTIVE,NONE,HYDROTHERMAL VEINS WITH ASSOCIATED SILICIFICATION AND SULPHIDE MINERALIZATION,ACID INTRUSIVES INTO KUNDELUNGU CLASTIC SEDIMENTS,322.0499569,4.60071367
SHIREMBWE-1 AND LOBA-1 GROUPS,13.9347,25.0333,Southern Province,Kasempa,Southern > Kasempa,Kasempa Salient,Kasempa Salient,97 KM SW of Kasempa,Copper,Gold,,INACTIVE,NONE,HYDROTHERMAL VEINS WITH ASSOCIATED SILICIFICATION AND SULPHIDE MINERALIZATION,ACID INTRUSIVES INTO KUNDELUNGU CLASTIC SEDIMENTS,2959.433672,42.27762388
NORTH LUNGA BASIN (NM CORNER),-13.0667,26.1167,North-Western Province,North-Western Province,North-Western,Lunga Basin,North-Western Province,75 KM SE of Kasempa,,Gold,Silver,INACTIVE,INACTIVE,NONE,HYDROTHERMAL VEIN-STOCKWORKS ASSOCIATED WITH ACID INTRUSIVES,197.082768,2.815468115
BUFFALO AND BUFFALO EAST,-13.7833,26.5,North-Western Province,Kasempa,North-Western > Kasempa,27 Km Ne Of The Kasempa Munima Road,Kasempa,90 KM ESE of Kasempa,Copper,,,INACTIVE,NIL,SUPERGENE ENRICHED,SEDIMENT-HOSTED COPPER,201.7066381,2.881523402
CHUNGA,-13.7,26.7,North-Western Province,North-Western Province,North-Western,Lunga Basin Area,North-Western Province,95 KM east of Kasempa,Copper,,,INACTIVE,NONE,FAULT-CONTROLLED COPPER MINERALIZATION,Rock types: SANDSTONE; Mineralization: MALACHITE.,179.8313174,2.56901882
KAUNGASHI AND UAMBO,-13.5039,26.2575,North-Western Province,North-Western Province,North-Western,"Bordered On The West By The Lunga River And On The East By The Lushishi River, Lunga Basin",North-Western Province,About 100 KM SE of Kasempa (400 road KM mu of Lusaka),Copper,Zinc,Gold,INACTIVE,NIL,SEDIMENT-HOSTED SULPHIDE DEPOSIT WITH SURFACE ENRICHMENT,"Rock types: SANDSTONE, QUARTZITE, LIMESTONE; Mineralization: MALACHITE, DIAMOND, IRON.",203.5001075,2.907144392
EUREKA/MIL DESPERANDUM,-13.9667,27.85,Central Province,Central Province,Central,East Side Of Luxanga River,Central Province,50 KM vest of Kapiri Mposhi,Copper,,,INACTIVE,"FREEMAN (1988-2) ESTIMATED A POSSIBLE RESOURCE OF 250,000 TONNES @ 2.55X CL, LARGELY OXIDE.",SUPERGENE ENRICHED COPPER,Minerals: Copper,159.3833265,2.276904664
LUMPUNA (NHELUSHI,-13.0869,27.9744,Copperbelt Province,Copperbelt Province,Copperbelt,South And SW Of Lumnshya Near The Kafusu Enerald Area,Copperbelt Province,Nhelushi - 48 KM west; mitondo - 35 KM west; and lumpuna east - 25 KM SW of lumnshya,Copper,,,INACTIVE,"LUMPUNA EAST HAS A FLAT-LYING ZONE SOME 500 M LONG, 150 M WIDE AND 4 M THICK AT DEPTHS OF 30 - 50 M BELOW SURFACE. TONNAGE IS ESTIMATED AT 800,000 TONNES WITH AN AVERAGE GRADE OF 0.95X COPPER. THE MITONDO DEPOSITS CONTAINS AN ESTIMATED 200,000 TONNES @ 0.70X COPPER. THE NHELUSHI DEPOSIT CONTAINS AN ESTIMATED 300,000 TONNES @ 1.24X COPPER. (ALL TONNAGE ESTIMATES BY FREEMAN, 1988).",STRATIFORM COPPER IN ROCKS OF PRESUMED KATANGA AREA,"Rock types: QUARTZITE, SCHIST; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",63.02389267,0.900341324
KADOLA AREA,-13.5039,27.5078,Central Province,Central Province,Central,South And SW Of Luanshya,Central Province,South and SW of Luanshya,,Pyrite,Uranium,INACTIVE,"NO ESTIMATE OF RESERVES OR RESOURCES WAS BEEN COMPLETED OTHER THAN AT MILLBERG (SEE); THE KADOLA COPPER PROSPECT, WHERE FREEMAN (1988-2) ESTIMATED A POSSIBLE 310,000 T @ 2.73% CU IN A STEEPLY DIPPING BOOT ABOUT 2.5 N THICK; AND THE EUREKA COPPER PROSPECT (SEE).",SILICIFIED,CARBONATE-HOSTED LEAD AND ZINC SULPHIDES,114.1152323,1.630217604
KABANGA,-13.25,27.25,Copperbelt Province,Copperbelt Province,Copperbelt,West Of Lushnishi River,Copperbelt Province,1125 KM SW of kitne,Iron,,,INACTIVE,MIL,IRON OCCURRENCE,A MAGNETITE BOOY 100 X 40 M.,102.8619905,1.469457007
NDOLA,12.9847,28.7167,Southern Province,Southeastern Copperbelt,Southern > Southeastern Copperbelt,Southeastern Copperbelt,Southeastern Copperbelt,5 KM south of Ndola,,,Copper,UNKNOWN,"GUERNSEY, NOS 389, 390, 394. IN THE 1960S, TWO HOLES WERE DRILLED ON THE SOUTH SIDE OF NDOLA DOWN. THESE HOLES WERE SPACED 650 M APART, AND WERE DRILLED TO INVESTIGATE THE LOWER ROAM, AND PARTICULARLY THE BRAWA NKUBUA ORE FORMATION.",INACTIVE,"POSSIBLY 200,000 TONNES AT 1.2X COPPER (FREEMAN, 1988).",2839.087482,40.5583926
KAFUBU AREA,-13.0869,28.0911,Copperbelt Province,Copperbelt Province,Copperbelt,Area West Of Kafue River (20 Km E-M By About 20 Km N-S),Copperbelt Province,20-40 KM west of luanswia or south of Kalulushi,Emerald,Beryl,Copper,ACTIVE,CONTROLLED BY ZCCM MINE POLICE AS A SERVICE. THIS WAS ALL BUT ELIMINATED ILLEGAL MINING. ILLEGAL SELLING TO BUYERS WHO PATROL OUTSIDE THE RESTRICTED AREA IS RIFF. MOST MINING IS OPEN PIT,SOME USING EQUIPMENT RENTED FROM ZCCM ONE OPERATOR INFORMED MGM THAT HE IS MINING UNDERGROUND ON A STEEPLY DIPPING,WATER PRODUCING LEAD TO A DEPTH OF APPROX. 50 M.,66.88348115,0.955478302
KAGEN,-13.1167,28.1333,Copperbelt Province,Copperbelt Province,Copperbelt,Between Kafue And Kafubu Rivers,Copperbelt Province,20 to 30 KM west of liamsnya and south of Kalulushi,Emerald,Beryl,,UNKNOWN,"THE KAGEN STAFF HAVE ISSUED NO STATEMENT OF RESERVES, BUT THEY ARE OBVIOUSLY SUBSTANTIAL. IN ADDITION TO THE MINES, THERE ARE SEVERAL OTHER MINING OPPORTUNITIES WITHIN THEIR LIMITS THAT ARE KEEP HIDDEN FOR SECURITY REASONS. IN NOW'S OPINION A LIFE EXPECTANCY OF AT LEAST 25 YEARS CAN BE EXPECTED AT THE CURRENT MINING RATE OF OPEN PIT RESERVES. SIMPLE UNDERGROUND-MINING BY DECLINE IS LIKELY TO EXTEND THE LIFE OF THE MINES FOR AT LEAST A FURTHER 25 YEARS.",EMERALD-BEARING SCHISTS/PEGMATITE OF THE MUYA SYSTEM,Rock types: SCHIST; Mineralization: MAGNETITE; Formation: THREE STAGES OF PEGMATITE FORMATION.,71.77366634,1.025338091
LUANSHYA DIVISION (LUANSHYA,-13.0536,28.3578,Copperbelt Province,Luanshya,Copperbelt > Luanshya,Luanshya And Baluba,Luanshya,35 KM SE of kijue,Copper,,,UNKNOWN,GROSS ORE RESERVES IN THE LUANSHYA AND BALUBA MINES AS AT 31 MARCH 1990 WERE 75.68 MILLION TONNES @ 2.46% TOTAL COPPER.,STRATIFORM COPPER IN LOWER-ROAN,"Rock: Granite, Schist; Minerals: Copper; Formation: Overlying Formation",79.86849243,1.140978463
LUANSHYA OXIDES,-13.0703,28.4078,Copperbelt Province,Luanshya,Copperbelt > Luanshya,Adjacent To The Present Mine Workings At Luanshya Division,Luanshya,All within 10 KM of the town of Luanshya,Copper,,,INACTIVE,31.2 MILLION TONNES AT 2.38% TCU AND 1.81% AS CU.,OXIDIZED STRATIFORM COPPER IN THE LOWER ROAN,"Mineralization: COPPER, MALACHITE.",84.98852234,1.214121748
LUFUBU NORTH AND SOUTH,-13.0369,28.2911,Copperbelt Province,Copperbelt Province,Copperbelt,In The Roam - Muliashi Basin,Copperbelt Province,To the west of the Luanshya and Baluba mines,,Copper,Molybdenum,INACTIVE,INACTIVE.,"ESTIMATED AT: (1) 800,000 TONNES AT AN AVERAGE GRADE OF 10X COPPER AT LUFUBU NORTH; AND (2) 500,000 TONNES AT AN AVERAGE GRADE OF 15X COPPER AT LUFUBU SOUTH",STRATIFORM COPPER IN LOWER ROAM.,73.6499756,1.052142509
MULIASHI NORTH,-13.1,28.35,Copperbelt Province,Luanshya,Copperbelt > Luanshya,Luanshya - Nl 16,Luanshya,10 KM hw of Luanshya,,Copper,,UNKNOWN,INACTIVE.,961 MILLION TONNES AT AN AVERAGE GRADE OF 215% TOTAL COPPER AND 172% ACID SOLUBLE COPPER THESE RESERVES ARE OPEN PITTABLE WITH A LOW W/O RATIO,STRATFORM OXIDE AND SULPHIDE COPPER IN LOWER ROAM.,83.12486883,1.187498126
NIKU (KAFUBU),-13.0667,28.05,Copperbelt Province,Copperbelt Province,Copperbelt,Near Niku River (Tributary Of Kafubu) - Mu Part Of Kafubu Enerald District,Copperbelt Province,40 KM west of luanswia,,Emerald,Beryl,INACTIVE,EMERALD MINE,UNKNOWN CONSIDERING THE LONG HISTORY AND LOCAL COMMENTS THAT CURRENT PRODUCTION IS INTERNITTENT,RESERVES ARE PRESUMABLY SMALL TO THE LIMITS OF SAFE AND ECONOMIC OPEN PIT MINING.,63.14826835,0.902118119
MKUSHI COPPER - HUNDA SECTION,-13.9667,29.1333,Central Province,Mkushi,Central > Mkushi,Mukushi District,Mkushi,80 KM NE of karne,Copper,Gold,Emerald,INACTIVE,FREEMAN (1989) ESTIMATED A PROBABLE 4 MILLION T AT 1.2 X CU AND A POSSIBLE 4 MILLION T 1.2 X CU.,DISSEMINATED SULPHIDES,INTROTHERMAL (?) PORPHYRY COPPER (?),211.4130483,3.020186405
MKUSHI COPPER - COLOQUO BOTTIA SECTION,-13.9167,29.2,Central Province,Mkushi,Central > Mkushi,Mukushi District,Mkushi,80 KM NE of kabne,Copper,Gold,Emerald,INACTIVE,"ONLY THE MINERALIZED APLITE WAS SUFFICIENTLY SAMPLED AND EXPOSED TO ALLOW A RESERVE ESTIMATE FOR THE SHAFT 1 AND SHAFT 1A WORKINGS OF 45,000 TONNES 8 2.88X CU (TO DEPTH OF 46 M).",DISSEMINATED SULPHIDES,HYDROTHERMAL (7) POMPHYRY COPPER (7),212.1675345,3.030964779
MKUSHI COPPER - NTUGA SECTION,-13.9667,29.1167,Central Province,Central Province,Central,Nxushi Copper District,Central Province,80 KM NE of kabne,Copper,Gold,Emerald,INACTIVE,"230,000 T AT 1.84% CU",DISSEMINATED SULPHIDES,NYDROTHERMAL (?) PORPWRY COPPER (?),210.2323235,3.003318907
MKUSHI COPPER - MUNSHIMENBA,-13.95,20.1333,Western Province,Mukushi District,Western > Mukushi District,Mukushi District,Mukushi District,80 KM NE of kabae,Copper,Gold,Emerald,INACTIVE,FREEMAN (1989) ESTIMATED RESERVES FOR THE MUNSHIMENBA AND H ZONE (W EXTENSION) AT A PROBABLE 5.6 MILLION T AT 1.35% CU AND A POSSIBLE 12.7 MILLION T AT 1.2% CU.,DISSEMINATED SLUPHIDES,NYROTHERMAL (?)-PORPHYRY COPPER (?),849.9105835,12.14157976
NUNSHINENGA BERYL,-13.9167,29.1667,Central Province,Central Province,Central,Nxushi Area,Central Province,Near nunshinenga-lunsehena confluence,,Emerald,Gold,INACTIVE,DORMANT,MIL,PEGWAITITE,209.6988221,2.995697459
N'SONANI,-13.1667,30.6667,Eastern Province,Eastern Province,Eastern,Serenae Area,Eastern Province,19 KM SE of kanona,Iron,Manganese,,INACTIVE,MIL,FORMER IRON WORKING,"Rock types: GRANITE, QUARTZITE, SCHIST.",313.368842,4.476697742
SERENJE,-13.25,30.25,Central Province,Serenje,Central > Serenje,Serenje Area,Serenje,Near Serenje village and up to 50 KM to the south,Mica,Beryl,Tourmaline,INACTIVE,NIL,PEGMATITE,"THE AREA HAS PRODUED MICA, TOURNALINE AND MINOR AMOUNTS OF BERYL. NO GEM RECORDED.",272.0718927,3.886741325
VELOCITY MINE,-13.8167,30.0667,Central Province,Central Province,Central,Bulungu Hills,Central Province,180 KM NE of Kabwe,Gold,,,INACTIVE,UNKNOWN,ALTHOUGH MINERALIZATION FAIRLY CONTINUOUS AT 31 G AU/T,HYDROTHERMAL VEIN AND SILICI FI CATION,279.2108615,3.988726594
KAMBOKA,-13.8333,31.6167,Eastern Province,Petauke,Eastern > Petauke,Petauke Area,Petauke,47 KM north of Petauke,Gold,,,INACTIVE,UNKNOWN,HYDROTHERMAL VEIN,Rock types: GNEISS; Mineralization: PYRITE; Formation: UNDERLAIN BY LUSANDNA AND CHINDENI GROUP.,432.6470094,6.180671563
SASARE,-13.9,31.3833,Eastern Province,Petauke,Eastern > Petauke,Petauke District,Petauke,38 KM north of Petauke,Gold,,,UNKNOWN,"UNKNOWN IN SITU RESERVES. VASTE DUMP MATERIAL, ACCORDING TO MINEX, CONTAINS 13,900 T @ 1.04 - 1.07 G/T. SOME PRODUCTION OF SILVER HAS BEEN RECORDED - APPROXIMATELY 20 PARTS AG TO 100 PARTS OF AU. GOLD FINENESS IS NEVERTHELESS REPORTED AT 978.",HYDROTHERMAL VEIN SYSTEM,"Rock types: GRANITE, SANDSTONE, QUARTZITE; Mineralization: GOLD, IRON.",411.5549057,5.879355796
LUTENBUE REEF,-15.6542,32.6589,Eastern Province,Chipata,Eastern > Chipata,Chipata Area,Chipata Area,10 KM SE from Chipata,Gold,,,INACTIVE,UNKNOWN,HYDROTHERMAL VEIN ACCOMPANIED BY SILICIFICATION,"Rock: Quartzite, Schist",623.9501646,8.913573781
MADZIMOTO GROUP,-13.7,32.5167,Eastern Province,Chipata,Eastern > Chipata,Chipata Area,Chipata,148 KM NE of petauxe,Gold,,,INACTIVE,UNKNOWN,HYDROTHERMAL QUARTZ VEIN,"Rock types: GRANITE, QUARTZITE, GNEISS; Mineralization: COPPER, MALACHITE, CHALCOPYRITE; Formation: A SERIES.",521.7409139,7.453441627
KILALAHIROMBUE - KAKAROBERT - YANYAUKI,-14.0833,24.8167,Northern Province,Kasehpa Salient,Northern > Kasehpa Salient,Kasehpa Salient,Kasehpa Salient,124 kh SW of kasehpa,Copper,Gold,,INACTIVE,MAY BE PART OF A WALL ROCK OF A MINERALIZED SHEAR; KILALAMIROH6WE-3: A FEW BOULDERS OF SILICIFIED LIMONITE,BOTH AS MASSIVE AND AS BOXWORKS SIMILAR TO SHINGANDA TYPE (SEE KARARI-KATOKA GROUP) SHALL STRINGERS OF VEIN QUARTZ AND SOME SHALE FLOAT; KILALAMIROHBWE-1: A 46 CM WIDE QUARTZ VEIN IN BIOTITE SCHIST WITH SOME PATCHES OF SILICEOUS LIMONITE AND SPARSE MALACHITE; KILALAHIROM8WE-4: A NORTHEASTERLY TRENDING,1.5 M -1.8 M WIDE,370.7224478,5.296034968
LUENA,-14.0039,24.0069,Northern Province,Beiner In The Dongue And Luena Rivers West Of Kagma,Northern > Beiner In The Dongue And Luena Rivers West Of Kagma,Beiner In The Dongue And Luena Rivers West Of Kagma,Beiner In The Dongue And Luena Rivers West Of Kagma,The east boundary is 30 KM mu of kagma,Diamond,,,INACTIVE,MIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, METASEDIMENT; Mineralization: DIAMOND; Formation: KATANGA SUPERGROUP.",446.8954304,6.384220435
KAJESU 1 TO 3 GROUP,-14.2667,25.1167,Northern Province,Kasempa,Northern > Kasempa,Kasempa Salient,Kasempa Salient,114 KM SW of Kasempa,Copper,Gold,,INACTIVE,NONE,HYDROTHERMAL VEIN WITH ASSOCIATED SILICIFICATION AND SULPHIDES,SUPERGENE ENRICHED,352.92341,5.041763
KALOMO,-14.0039,25.0069,Northern Province,Se,Northern > Se,Se,Se,The area is 40 KM SE of kalomo,Diamond,,,INACTIVE,MIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, METASEDIMENT; Mineralization: DIAMOND; Formation: KATANGA SUPERGROUP.",348.4370491,4.97767213
KALOMO,-14.0039,25.0069,Northern Province,Se,Northern > Se,Se,Se,The area is 40 KM SE of kalomo,Diamond,,,INACTIVE,MIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, METASEDIMENT; Mineralization: DIAMOND; Formation: KATANGA SUPERGROUP.",348.4370491,4.97767213
KALOMO,-14.0039,25.0069,Northern Province,Se,Northern > Se,Se,Se,The area is 40 KM SE of kalomo,Diamond,,,INACTIVE,MIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, METASEDIMENT; Mineralization: DIAMOND; Formation: KATANGA SUPERGROUP.",348.4370491,4.97767213
KALOMO,-14.0039,25.0069,Northern Province,Se,Northern > Se,Se,Se,The area is 40 KM SE of kalomo,Diamond,,,INACTIVE,MIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, METASEDIMENT; Mineralization: DIAMOND; Formation: KATANGA SUPERGROUP.",348.4370491,4.97767213
KAMACHOPOLO-1 AND CHAMBORNE-1 GROUP,-14.1833,25.1167,Northern Province,Kasehpa Salient,Northern > Kasehpa Salient,Kasehpa Salient,Kasehpa Salient,108 KM SW of kasehpa,Gold,Copper,,INACTIVE,NONE,INTOROTHERMAL OCCURRENCES,WITH ASSOCIATED SELECTIFICATION AND SULPHIDES,347.9939545,4.971342208
KARARI - KATOKA GROUP,-14.0333,25.2,Northern Province,Kasempa,Northern > Kasempa,Kasempa Salient,Kasempa Salient,90 KM SW of Kasempa,Copper,Gold,Silver,INACTIVE,NONE,HYDROTHERMAL WITH ASSOCIATED SILICIFICATION AND SULPHIDES,"ACID INTRUSIVES INTO KINDELUNGU CLASTIC SEDIMENTS, MAINLY SILTSIGNES.",331.7521304,4.739316148
SHINGANDA (WESTERN SUN),-14.0667,25.1333,Northern Province,Kalengua Area,Northern > Kalengua Area,Kalengua Area,Kalengua Area,"70 KM SSE of kalengua, straddling the kaoma road",Copper,,,INACTIVE,MIL,SUPERGENE COPPER ACCUMULATION,Rock: Dolomite; Minerals: Copper,339.8342621,4.854775173
DONGUE GOLD GROUP,-14.7833,25.0333,Northern Province,Dongue River (North Side),Northern > Dongue River (North Side),Dongue River (North Side),Dongue River (North Side),95 KM sm of Kasempa,Gold,Copper,,INACTIVE,NO RESERVES. GOLD VALUES RESTRICTED TO NEAR SURFACE ENRICHMENT OF APPROXIMATELY ONE METER DEPTH.,EPIGENETIC,FRACTURE INFILLINGS.,393.9615529,5.628022184
LALAFUTA,-14.5042,25.3403,Northern Province,North Of Numbia - Mancoya Road,Northern > North Of Numbia - Mancoya Road,North Of Numbia - Mancoya Road,North Of Numbia - Mancoya Road,Approximately 150 KM west of numbia,Diamond,,,INACTIVE,MIL,DIAMOND LOCALITY,Mineralization: DIAMOND.,348.7714153,4.98244879
KAFUE SALIENT,-14.25,26.7167,Northern Province,Lunga Basin East,Northern > Lunga Basin East,Lunga Basin East,Lunga Basin East,90 KM mu from munsua,,,,INACTIVE,NONE,MYDROTHERMAL MULTI-VEINED (?) OR SKARM (?),"Rock types: SHALE; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",226.8623726,3.240891038
KATANGA COPPER,-14.4667,26.8667,Northern Province,"70 Kn North Of Numbwa, South Lunga Basin","Northern > 70 Kn North Of Numbwa, South Lunga Basin","70 KM North Of Numbwa, South Lunga Basin","70 Kn North Of Numbwa, South Lunga Basin",About 265 road KM west of kabne,Copper,Zinc,Silver,INACTIVE,MIL,LIMESTONE-NOSTED COPPER-ZINC-SILVER GOSSAM WITH MALACHITE STAINING,"Rock types: LIMESTONE, METASEDIMENT; Mineralization: MALACHITE, IRON, HEMATITE; Formation: ARENACEOUS METASEDIMENTS OF THE RUNDELUNGU SERIES.",239.8324316,3.426177594
KAUNGASHI AND MUTAPANDA,-14.0039,26.5072,Northern Province,Kasempa,Northern > Kasempa,15 To 30 Km East Of The Mumbua-Kasempa Road,15 To 30 Km East Of The Mumbua-Kasempa Road,100 to 130 KM nm of Mumbwa,Iron,,,INACTIVE,MIL,IRON SKARM DEPOSITS,"Mineralization: IRON, MAGNETITE, HEMATITE.",218.7631411,3.12518773
