Property_Name,Latitude,Longitude,District/Town,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,Province,District/Town_Original
NAWINDA,-16.5,24.75,Kafue,SW BOUNDARY 40 KM NW OF MULOBEZI,DIAMOND,None,None,INACTIVE,NIL,KIMBERLITE INDICATOR MINERALS,Bulk sampling of Kweemba produced 6 diamonds[cite: 2590].,553.0362399770862,7.900517713958375,Lusaka,SW OF KAFUE NATIONAL PARK
DK2 (LOAZAMBA),-17.033333333333335,24.916666666666668,Between Loazamba And Machile Rivers,40 KM SW OF MULOBEZI,DIAMOND,None,None,INACTIVE,NIL,KIMBERLITE,Pipe < 100m diameter. Abundant indicators[cite: 2635].,591.4211867867208,8.448874096953155,Unknown,BETWEEN LOAZAMBA AND MACHILE RIVERS
DK3 (LOAZAMBA),-17.033333333333335,24.916666666666668,Loazamba Pl,nan,DIAMOND,None,None,INACTIVE,NIL,KIMBERLITE,Small pipe max diameter 25m[cite: 2635].,591.4211867867208,8.448874096953155,Unknown,LOAZAMBA PL
BK1 (LOAZAMBA),-17.033333333333335,24.916666666666668,Loazamba Pl,nan,DIAMOND,None,None,INACTIVE,NIL,KIMBERLITE,Intruded into basalt beneath 38m sand[cite: 2635].,591.4211867867208,8.448874096953155,Unknown,LOAZAMBA PL
AK1 (LUSU),-17.083333333333332,24.533333333333335,Adjoins Botswana Border,SESHEKE IS ON SOUTH EDGE,DIAMOND,None,None,INACTIVE,NIL,KIMBERLITE,Intruded into Karoo basalt beneath sand. 180 x 75m[cite: 2671].,618.8851367044199,8.84121623863457,Unknown,ADJOINS BOTSWANA BORDER
CHAMOKA COPPER,-16.466666666666665,26.533333333333335,"Southern Province, Namwala/Kalomo",62 KM NW OF CHOMA,COPPER,None,None,INACTIVE SHOWING,NONE,STRATIFORM COPPER,Drill avg 0.49% Cu over 2.6m[cite: 2712].,459.75483207167423,6.567926172452489,Unknown,"SOUTHERN PROVINCE, NAMWALA/KALOMO"
NAMATA RIDGE,-16.583333333333332,26.333333333333332,Siakaunda Locality,72 KM WNW OF CHOMA,IRON,None,None,INACTIVE,NIL,SEDIMENTARY IRON FORMATION,Hematite/Magnetite. One sample assayed 38% Fe [cite: 2750-2753].,478.9987691087584,6.842839558696548,Unknown,SIAKAUNDA LOCALITY
BATOKA,-16.583333333333332,27.25,Choma,150 KM SW OF KAFUE,DIAMOND,None,None,INACTIVE,NIL,DIAMOND OCCURRENCE,"One small diamond recorded, not confirmed.",454.94700716404833,6.499242959486405,Southern,AREA BETWEEN PEMBA AND CHOMA
PHOENIX,-16.966666666666665,27.416666666666668,Choma,35 KM NW OF SINAZONGWE,MICA,BERYL,None,LOCAL MINING,UNKNOWN,BERYL PEGMATITE,Mica mine with beryl.,495.16387737143924,7.073769676734846,Southern,E OF ROAD CHOMA-SINAZONGWE
BUFFALO XIX AND XX,-17.116666666666667,27.2,Choma,35 KM NORTH OF SINAZONGWE,MICA,BERYL,None,LOCAL MINING,UNKNOWN,BERYL PEGMATITE,Beryl locality.,514.4112696082506,7.348732422975008,Southern,W OF ROAD CHOMA-SINAZONGWE
KAPILISANGWE,-16.4,28.75,East Of Siavonga Road,25 KM SOUTH OF CHIRUNDU,AMETHYST,None,None,LOCAL MINING,Reported >90T per vertical m.,AMETHYST VEINS,Veins up to 0.7m wide over 600m strike [cite: 2850-2852].,440.73707059481785,6.296243865640255,Unknown,EAST OF SIAVONGA ROAD
SACHENGA MINE,-16.25,28.166666666666668,Mines On Luisita River,70 KM SE OF MAZABUKA,MICA,BERYL,TOURMALINE,INACTIVE,Mica reserves believed to exist.,PEGMATITES,Mica bearing pegmatites in biotite schist [cite: 2893-2895].,414.68257703787316,5.924036814826759,Unknown,MINES ON LUISITA RIVER
CHOLWE,-16.25,28.166666666666668,Sachenga Group,70 KM SE OF MAZABUKA,MICA,None,None,INACTIVE,nan,PEGMATITE,Part of Sachenga Group.,414.68257703787316,5.924036814826759,Unknown,SACHENGA GROUP
LAST HOPE,-16.25,28.166666666666668,Sachenga Group,70 KM SE OF MAZABUKA,MICA,None,None,INACTIVE,nan,PEGMATITE,Part of Sachenga Group.,414.68257703787316,5.924036814826759,Unknown,SACHENGA GROUP
SAIKALINDA,-16.25,28.166666666666668,Sachenga Group,70 KM SE OF MAZABUKA,MICA,None,None,INACTIVE,nan,PEGMATITE,Part of Sachenga Group.,414.68257703787316,5.924036814826759,Unknown,SACHENGA GROUP
MUNYWAMEZI,-16.25,28.166666666666668,1.25 Km Nw Of Sachenga,70 KM SE OF MAZABUKA,MICA,None,None,INACTIVE,nan,PEGMATITE,One of largest pegmatites. 245m exposed [cite: 2896-2897].,414.68257703787316,5.924036814826759,Unknown,1.25 KM NW OF SACHENGA
GLEN,-16.25,28.166666666666668,Sachenga Group,70 KM SE OF MAZABUKA,MICA,None,None,INACTIVE,nan,PEGMATITE,Part of Sachenga Group.,414.68257703787316,5.924036814826759,Unknown,SACHENGA GROUP
SASHA,-16.25,28.166666666666668,Sachenga Group,70 KM SE OF MAZABUKA,MICA,None,None,INACTIVE,nan,PEGMATITE,Part of Sachenga Group.,414.68257703787316,5.924036814826759,Unknown,SACHENGA GROUP
JACK,-16.25,28.166666666666668,Sachenga Group,70 KM SE OF MAZABUKA,MICA,None,None,INACTIVE,nan,PEGMATITE,Part of Sachenga Group.,414.68257703787316,5.924036814826759,Unknown,SACHENGA GROUP
MWAKAMBIKO HILLS,-17.7,26.883333333333333,6 Km Nw Of Siazawa,90 KM SE OF KALOMO,AMETHYST,None,None,Active,1400 tons quality stone (1961).,AMETHYST VEINS,Veins in belt 30km long.,583.7994360165194,8.339991943093134,Unknown,6 KM NW OF SIAZAWA
