Property_Name,Latitude,Longitude,Province,Clean_District,District_Hierarchy,District/Town,Standardized_District,Distance_Nearest_Center_km,Primary_Commodity,Commodity_2,Commodity_3,Status,Reserves,Geology_Classification,Geology_Description,Distance_From_Chingola_km,Travel_Time_From_Chingola_Hours,District/Town_Original
Kajesu 1 To 3 Group,-14.2667,25.1167,Northern Province,Kasempa,Northern Province > Kasempa,Kasempa Salient,Kasempa,114 KM SW of Kasempa,Copper,Gold,,Active,NONE,HYDROTHERMAL VEIN WITH ASSOCIATED SILICIFICATION AND SULPHIDES,SUPERGENE ENRICHED,352.92341,5.041763,
Kalomo,-14.0039,25.0069,Northern Province,Se,Northern Province > Se,Se,Se,The area is 40 KM SE of kalomo,Diamond,,,Active,MIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, METASEDIMENT; Mineralization: DIAMOND; Formation: KATANGA SUPERGROUP.",348.4370491,4.97767213,
Kamachopolo-1 And Chamborne-1 Group,-14.1833,25.1167,Northern Province,Kasehpa Salient,Northern Province > Kasehpa Salient,Kasehpa Salient,Kasehpa Salient,108 KM SW of kasehpa,Gold,Copper,,Active,NONE,INTOROTHERMAL OCCURRENCES,WITH ASSOCIATED SELECTIFICATION AND SULPHIDES,347.9939545,4.971342208,
Karari - Katoka Group,-14.0333,25.2,Northern Province,Kasempa,Northern Province > Kasempa,Kasempa Salient,Kasempa,90 KM SW of Kasempa,Copper,Gold,Silver,Active,NONE,HYDROTHERMAL WITH ASSOCIATED SILICIFICATION AND SULPHIDES,"ACID INTRUSIVES INTO KINDELUNGU CLASTIC SEDIMENTS, MAINLY SILTSIGNES.",331.7521304,4.739316148,
Shinganda (Western Sun),-14.0667,25.1333,Northern Province,Kalengua Area,Northern Province > Kalengua Area,Kalengua Area,Kalengua Area,"70 KM SSE of kalengua, straddling the kaoma road",Copper,,,Active,MIL,SUPERGENE COPPER ACCUMULATION,Rock: Dolomite; Minerals: Copper,339.8342621,4.854775173,
Dongue Gold Group,-14.7833,25.0333,Northern Province,Dongue River (North Side),Northern Province > Dongue River (North Side),Dongue River (North Side),Dongue River (North Side),95 KM sm of Kasempa,Gold,Copper,,Active,NO RESERVES. GOLD VALUES RESTRICTED TO NEAR SURFACE ENRICHMENT OF APPROXIMATELY ONE METER DEPTH.,EPIGENETIC,FRACTURE INFILLINGS.,393.9615529,5.628022184,
Lalafuta,-14.5042,25.3403,Northern Province,North Of Numbia - Mancoya Road,Northern Province > North Of Numbia - Mancoya Road,North Of Numbia - Mancoya Road,North Of Numbia - Mancoya Road,Approximately 150 KM west of numbia,Diamond,,,Active,MIL,DIAMOND LOCALITY,Mineralization: DIAMOND.,348.7714153,4.98244879,
Kafue Salient,-14.25,26.7167,Northern Province,Lunga Basin East,Northern Province > Lunga Basin East,Lunga Basin East,Lunga Basin East,90 KM mu from munsua,Unknown,,,Active,NONE,MYDROTHERMAL MULTI-VEINED (?) OR SKARM (?),"Rock types: SHALE; Mineralization: COPPER, CHALCOPYRITE, PYRITE.",226.8623726,3.240891038,
Katanga Copper,-14.4667,26.8667,Northern Province,"70 Kn North Of Numbwa, South Lunga Basin","Northern Province > 70 Kn North Of Numbwa, South Lunga Basin","70 KM North Of Numbwa, South Lunga Basin","70 Kn North Of Numbwa, South Lunga Basin",About 265 road KM west of kabne,Copper,Zinc,Silver,Active,MIL,LIMESTONE-NOSTED COPPER-ZINC-SILVER GOSSAM WITH MALACHITE STAINING,"Rock types: LIMESTONE, METASEDIMENT; Mineralization: MALACHITE, IRON, HEMATITE; Formation: ARENACEOUS METASEDIMENTS OF THE RUNDELUNGU SERIES.",239.8324316,3.426177594,
Kaungashi And Mutapanda,-14.0039,26.5072,Northern Province,Kasempa,Northern Province > Kasempa,15 To 30 Km East Of The Mumbua-Kasempa Road,Kasempa,100 to 130 KM nm of Mumbwa,Iron,,,Active,MIL,IRON SKARM DEPOSITS,"Mineralization: IRON, MAGNETITE, HEMATITE.",218.7631411,3.12518773,
Lubungu - Kafuala Group,-14.3375,26.0072,Northern Province,Kahle River Vicinity,Northern Province > Kahle River Vicinity,Kahle River Vicinity,Kahle River Vicinity,100 KM mnm of wanbua,Iron,Gold,Copper,Active,"ACCORDING TO GEOLOGICAL SURVEY DATA CARDS: LUBUNGU - 175.2 MILLION T @ 56.6X FE, 0.57X P205.",VEINS AND STRUCTURALLY RELATED IRON DEPOSITS,"Rock types: GRANITE, SCHIST; Mineralization: COPPER, MALACHITE, PYRITE; Formation: IT IS AN IRON FORMATION.",282.7792733,4.039703904,
Bob Zinc,-14.5,26.8667,Northern Province,"60 Km North Of Manhma, South Lunga Basin","Northern Province > 60 Km North Of Manhma, South Lunga Basin","60 Km North Of Manhma, South Lunga Basin","60 Km North Of Manhma, South Lunga Basin",260 road KM west of kabne,Zinc,Silver,,Active,"A RESOURCE OF 276,000 T a 11.6% Zn AND 150 G/T Ag IS ESTIMATED (FREEMAN, 1989). WITHIN THE UPPER PART OF THE DEPOSIT, A HIGHER GRADE LENS EXISTS (110 M LONG, 5 M WIDE AND 16 M HIGH) WHICH CONTAINS 90,000 T GRADING 22.77% Zn AND 95 G/T Ag.",CARBONATE-HOSTED ZINC SILICATE/SILVER LENS MINERALIZATION,Rock types: METASEDIMENT; Formation: ARENACEOUS METASEDIMENTS OF THE KUNDELUNGU SERIES OF THE PRECAMBRIAN KATANGA SUPERGROUP.,243.1570766,3.473672523,
Kamitobo (Kamtobo),-14.7167,26.9167,Northern Province,Numbwa District,Northern Province > Numbwa District,Numbwa District,Numbwa District,25 KM NNW of Mumbwa,Copper,,,Active,"NO RESERVES OR RESOURCES. BRANDT(1955; IN FREEMAN, 1987-1988) STATED THAT ABOUT 30 T OF MALACHITE ASSAYING ABOUT 20% CU HAD BEEN QUARRIED FROM THE OUTCROP. HOWEVER, ONLY A FEW HUNDRED T OF MATERIAL AT THIS GRADE ARE LIKELY TO HAVE BEEN LEFT BEHIND.",STRATIFORM COPPER IN SEDINENTS OF UPPER KATANGA AGE,"Rock types: LIMESTONE, SHALE; Mineralization: COPPER, MALACHITE, IRON.",262.8945249,3.75563607,
Lulu,-14.6833,27.85,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Nunbua District,Kabwe,About 50 KM NW of nunbua,Copper,Silver,,Active,NO RESERVES OR RESOURCES HAVE BEEN DELINEATED,GOSSAM,"Mineralization: COPPER, MALACHITE.",239.0731365,3.415330522,
Sable Antelope,-14.5833,26.9167,Northern Province,Numbia District,Northern Province > Numbia District,Numbia District,Numbia District,40 KM northmest of numbia,Copper,Silver,,Active,UUKNOAN,COPPER REPLACEMENT DEPOSITS,"Rock types: GRANITE, DOLOMITE, LIMESTONE; Mineralization: CHALCOPYRITE, PYRITE.",249.2796273,3.561137533,
Silver King,-14.5833,26.8333,Northern Province,13 Km Mu Of The Sable Antelope Mine,Northern Province > 13 Km Mu Of The Sable Antelope Mine,13 Km Mu Of The Sable Antelope MINE,13 Km Mu Of The Sable Antelope Mine,53 KM nortnatest of nunbna,Copper,Silver,Barite,Active,UNKNOWN,COPPER SILVER SHEAR ZONE DEPOSIT,Rock types: GRANITE; Mineralization: MALACHITE.,253.0590257,3.615128939,
Karenda Group,-14.5872,26.8408,Northern Province,Surrounding Karenda Village,Northern Province > Surrounding Karenda Village,Surrounding Karenda Village,Surrounding Karenda Village,37 KM mnm of numbua,Iron,Copper,,Active,THE TWO LARGEST DEPOSITS ARE: KALLIASANTNE ESTIMATED BY ANGLO AMERICAN TO BE 10 MILLION T @ 40-50X FE; AND CHAMASOKA ESTIMATED BY BRANDT TO CONTAIN 5 MILLION T @ 50-60X FE.,IRON DEPOSITS,"Rock types: SCHIST; Mineralization: COPPER, IRON, MAGNETITE; Reserves: 10 MILLION T.",253.0977866,3.615682665,
Malusanga Group,-14.7542,26.5072,Northern Province,Near Malusanga Village,Northern Province > Near Malusanga Village,Near Malusanga Village,Near Malusanga Village,Centred 40 KM west of mungua,Iron,,,Active,"THE TWO LARGEST DEPOSITS IN THE GROUP HAVE RESERVES ESTIMATED BY ANGLO AMERICAN AS FOLLOWS: MATUMBUE: 26 MILLION T 8 48.8X FE, 26.1X SI02, MATUMBUE EXTENSION: 12 MILLION T 8 61.0X FE, 7.8X SI02, MURONDE: 5 MILLION T 8 44.5X FE, 30.9X SI02",IRON DEPOSITS,"Rock types: GRANITE, SCHIST, LIMESTONE; Mineralization: CHALCOPYRITE, PYRITE, IRON; Formation: SIMILAR TO KABENDA GROUP; Reserves: 4 MILLION T.",286.4157789,4.091653984,
Kaindu,-14.5833,26.8333,Northern Province,"Chief Kaindu Area, Nunsua District","Northern Province > Chief Kaindu Area, Nunsua District","Chief Kaindu Area, Nunsua District","Chief Kaindu Area, Nunsua District",60 KM north of nunsua,Amethyst,,,Active,UNKNOWN,ANETRYST VEIN,GOOD QUALITY SAMPLES BROUGHT IN TO ZCCH IN DECEMBER,253.0590257,3.615128939,
Nippo.,-14.6833,26.3667,Northern Province,Munsua Area,Northern Province > Munsua Area,Munsua Area,Munsua Area,80 KM hmw of munsua (95 KM by road),Copper,,,Active,"AS AT JANUARY 1968, RESERVES TOTALED 10,500 T AT 7.8X CU, BUT IT WAS SPECULATED THAT DEVELOPMENT ON THE 60 M LEVEL WOULD INCREASE THIS FIGURE. NO INFORMATION IS CURRENTLY AVAILABLE TO WGN ON SUBSEQUENT DEVELOPMENTS.","COPPER IN """"GUARTZOSE"""" VEIN-NATERIAL CUTTING DARK GREY BANDED ARGILLITES","Mineralization: COPPER, MALACHITE, AZURITE.",287.8390473,4.11198639,
Chipili,-14.8,26.2333,Northern Province,Kafue,Northern Province > Kafue,"In The Kafue National Park, East Of Kafnala",Kafue,"On east side of the Kafue river, approximately 75 KM west of hunbua",Diamond,,,Active,MIL,DIAMOND OCCURRENCE,"Rock types: GRANITE, SHALE, METASEDIMENT; Mineralization: DIAMOND.",306.6495056,4.380707224,
Kafmala,-14.75,26.15,Northern Province,Kafue,Northern Province > Kafue,"In The Kafue National Park, Near Kafmala Rest Camp",Kafue,Approximately 45 KM by road from the nanhua-kaoma road,Diamond,,,Active,MIL,SPARSELY DIAMONDIFEROUS KIMBERLITES,"Rock types: GRANITE, SHALE; Mineralization: DIAMOND; Formation: THE GROUP.",307.4014618,4.391449454,
Ma19/40,-14.85,27.1167,Central Province,Kabwe,Central Province > Kabwe,Nunbua Area,Kabwe,13 KM NE of nunbua,Copper,,,Active,"IF A STRIKE LENGTH OF 60 M IS ASSUMED FOR THE COPPER POD, IT COULD CONTAIN APPROXIMATELY 60,000 T OF MINERALIZED MATERIAL WITH AN AVERAGE GRADE OF ABOUT 2% CU.",STRATAGOUND COPPER IN THE KATANGA SUPERGROUP,"Rock types: SANDSTONE, DOLOMITE, SHALE; Mineralization: COPPER, MALACHITE, CHALCOPYRITE; Formation: PARALLEL TO THE BEDDING OF A SERIES.",269.5114146,3.850163066,
Myoba Group,-14.5872,27.0908,Central Province,Kabwe,Central Province > Kabwe,SW Of Luxanga Suamp,Kabwe,30 to 50 KM NE of nunbua,Iron,Gold,,Active,MIL,GOSSANS,"Rock types: SANDSTONE; Mineralization: GOLD, HEMATITE.",242.6799902,3.466857003,
Shinyoka Group,-14.9208,27.1742,Central Province,Kabwe,Central Province > Kabwe,"Nangoka Bridge Area, Lusaka-Huhbua Road",Kabwe,110 KM unu of Lusaka,Iron,Gold,,Active,"GEOLOGICAL SURVEY DATA CAROS GIVE THE FOLLOWING RESERVES; SHIHYOKA, CHINOA, MUELA, NAMBUTALI, PROBABLE OPEN PIT, 2 MILLION T 3 57% FE PROBABLE OPEN PIT 700,000 500,000 678,000 58% FE 56% FE 59% FE PROBABLE OPEN PIT PROBABLE OPEN PIT",IRON REPLACEMENT DEPOSITS,"Rock types: LIMESTONE; Mineralization: PYRITE, GOLD, IRON; Reserves: 5 MILLION T.",275.334671,3.933352443,
Millberg Beryl,-14.0,28.5,Central Province,Kapiri Mposhi,Central Province > Kapiri Mposhi,Worth Side Of A Tributary Of The Mulungushi River,Kapiri Mposhi,Approximately 11 KM sm of Kapiri Mposhi,Aquamarine,Emerald,Beryl,Unknown,UNKNOWN,PERMATITES,Formation: THE GROUP.,177.6142024,2.537345749,
Kapambalela - Nuchinda (Gold-Copper),-13.9872,28.6667,Central Province,Kapiri Mposhi,Central Province > Kapiri Mposhi,Madnboshi Group,Kapiri Mposhi,50 KM north of Lusaka,Copper,Gold,Silver,Active,MIL,NTOROTHERMAL VEINS AND STOCKLORKS,"Rock types: QUARTZITE, SCHIST; Mineralization: MALACHITE, GOLD, IRON; Formation: IRON FORMATION.",184.2521115,2.632173021,
Airfield Area,-14.4667,28.4333,Central Province,Kabwe,Central Province > Kabwe,South-Central Part Of Broken Hill Mining Licence Ml 1,Kabwe,"Immediately south of the mo. 2 oreboot, 1. 5 KM SE of the mine plant",Zinc,Lead,,Active,"PITTING IN 1958 OUTLINED A SILICATE ""BLANKET"" DEPOSIT THAT WAS THEN ESTIMATED TO CONTAIN 65,000 T GRADING 16X 2 AND 5X Pb. LE ROUX SUGGESTED THERE MAY BE ABOUT 40,000 T REMAINING. OVERBURDEN IS FROM 0.4 TO 3.0 N THICK AN AVERAGES 2.5 N, AND THE MINERALIZED THICKNESS AVERAGES 1.3 N. IN 1987, THE LOW GRADE DISSEMINATED DEPOSIT WAS ESTIMATED BY HALLDANE TO CONTAIN (DRILL INDICATED) 4.5 MILLION T a 3.6X TOTAL Zn-Pb, WITH 64X OF THE CONTAINED METAL AS Zn. DRILLING WAS RESTRICTED TO A SMALL AREA (450 N X 80 N X 50 N DEEP - MAX. 90 N DEPTH). A HIGHER GRADE SECTION OF 981,000 T a 4.6X TOTAL METAL OVERLIES THE Mo. 2 VINZE.",ZINC-LEAD SILICATE BLANKET AND DISSEMINATED,LOW GRADE & BLOBBY MINERALIZATION,224.0409724,3.20058532,
Foundry Area,-14.4667,28.45,Central Province,Kabwe,Central Province > Kabwe,Southeast Part Of Broken Hill Mining Licence Ml 1,Kabwe,3 KM SE of the mine plant area,Zinc,Lead,,Active,"6 SMALL DEPOSITS OF Zn SILICATE MINERALIZATION DOMI TO ABOUT 20 M, ESTIMATED TO CONTAIN A FEW THOUSAND TOWNES a 30-40X Zn. PD VALUES ARE FROM 0.5-2.0X.",CARBONATE-HOSTED POD & PIPE ZINC SILICATE MINERALIZATION,Rock types: DOLOMITE; Formation: A GROUP.,224.5548812,3.207926875,
Mine Club & Speak'S Area,-14.4667,28.4333,Central Province,Kabwe,Central Province > Kabwe,North-Central Part Of Broken Hill Mining Licence Ml 1,Kabwe,Deposits lie between great north road & mine plant area,Zinc,Lead,Copper,Active,"NEITHER DEPOSIT WAS SUFFICIENT DRILL DATA TO MAKE A RESERVE ESTIMATE, BUT MALDAME (1989) WAS SUGGESTED A RESOURCE (DRILL INDICATED AND INFERRED), OVER A STRIKE LENGTH OF 600 M AND TO A DEPTH OF 200 M: MINE CLUB - 666,000 T @ 11.7% Zn AND 1.7% Pb SPEAK'S - 1.94 MILLION T @ 12% Zn AND 2% Pb IT SHOULD BE NOTED THAT, ACCORDING TO BANDA, THE LOCATION IS VERY UNSUITED TO MINING (QUE TO SURFACE BUILDINGS AND UNSTABLE GROUND) AND THE EXTRACTABLE AMOUNT OF THE RESOURCE WILL BE MUCH LESS THAN THE ABOVE FIGURES.",IRONSTONE-HOSTED ZINC-LEAD SILICATE MINERALIZATION,"Rock types: SANDSTONE, DOLOMITE, SHALE; Mineralization: COPPER, IRON.",224.0409724,3.20058532,
Nufuxushi Copper (Zinc),-14.05,28.4833,Central Province,Kapiri Mposhi,Central Province > Kapiri Mposhi,Kapiri Mposhi Area,Kapiri Mposhi,Approximately 42 road on north of kabne,Copper,Zinc,Gold,Active,"IN SIX ZONES, IT WAS ESTIMATED (FREEMAN, 1989) THAT THERE IS A RESOURCE OF APPROX. 6 MILLION T GRADING 1.23% CLAND 1.4 MILLION T @ 0.70% Zn. THE DRILL HOLE SPACING IS NOT ADEQUATE ENOUGH TO MAKE AN ACCURATE ""RESERVE"" CALCULATION OF THE MINERALIZED ZONES.",VOLCANOGENIC (?) STRATIFORM DISSEMINATED SULPHIDE,"Rock types: QUARTZITE, DOLOMITE; Mineralization: MALACHITE, AZURITE, CHALCOPYRITE; Formation: DIAMOND DRILLING ADDED TO THE GEOLOGICAL INFORMATION.",182.0430987,2.600615696,
Kabwe Mine (Broken Hill),-14.4667,28.4333,Central Province,Kabwe,Central Province > Kabwe,Karne Division'S Broken Hill Mining Licence Area - Ml 1,Kabwe,In town of karne,Unknown,Zinc,Lead,Active,OPERATING MINE,"AS OF MARCH 31, 1990: 000'S T % ZN % PB FULLY DEVELOPED 338 193 67 PARTLY DEVELOPED 337 153 21 UNDEVELOPED 290 175 30 THE NO 2 OREBOXY, WHICH IS TABULAR, SILICATE-OXIDE ZN MINERALIZATION (WILLEMITE) WITH IRON OXIDES, MAKES UP THE MAJORITY OF THE RESERVES, AND IS ESTIMATED TO CONTAIN ABOUT +800,000 T A 14% ZN & +1% PB TAILINGS RESOURCES ARE: LEACH PLANT RESIDUES OF 3 MILLION T A 83% PB & 55% ZN, ISF SLAGS OF 1 MILLION T A 07% PB & 83% ZN AND OTHERS OF 1 MILLION T A 54% PB & 126% ZN (ZCCM, 1990)",CARBONATE-HOSTED,224.0409724,3.20058532,
Chimanda,-14.4167,28.3833,Central Province,Kabwe,Central Province > Kabwe,Kabwe Mining District,Kabwe,5 KM west of Kabwe,Zinc,Lead,Copper,Active,"ESTIMATED RESOURCE IF ALL SEPARATE POOS AND LENSES ADDED TOGETHER ARE: 87,000 T @ 1.87X 2n AND 47,000 T @ 2.74X PD TO DEPTHS OF 50-100 M BELOW SURFACE (FREEMAN, 1989). A SOIL AND LATERITE RESOURCE (CALLED 'PROBABLE ONE RESERVE' BY MINEX) OF J34,000 T @ 1.34X PD WAS CALCULATED IN 1985.",NYDROTHERNAL POD AND VEIN MINERALIZATION,"Rock types: QUARTZITE, SCHIST, DOLOMITE.",217.2161448,3.103087783,
Camarnor Zinc,-14.25,28.25,Central Province,Kabwe,Central Province > Kabwe,Kabwe Area,Kabwe,About 35 KM NW of Kabwe,Vanadium,Zinc,Lead,Active,"FREEMAN (1988) ESTIMATES RESOURCES, FOR A BODY 1-1.5 M THICK AND TO A DEPTH OF 30 M, OF 37,000 T AVERAGING 11.7% Zn AND 1.4% Pb.",SECONDARY ZINC-LEAD MINERALIZATION IN LATERITIC CLAYS AND DOLOMITE,"Rock types: DOLOMITE, SHALE; Mineralization: PYRITE, HEMATITE.",195.7306065,2.796151522,
Liketula Group,-14.0039,28.0078,Central Province,Kabwe,Central Province > Kabwe,Mufukushi River,Kabwe,35 to 43 KM NW of Kabwe,Iron,,,Unknown,SEDIMENTARY AND REPLACEMENT IRON FORMATIONS,"LIKETULA, 43 KM NW OF KABUE ACCORDING TO GUERNSEY, HEMATITE AND MAGNETITE REPLACEMENT BODIES IN QUARTZITE ARE EXPOSED BY TRENCHING IN AN AREA 200 X 60 M AT THAT TIME A PARTIAL ANALYSIS OF A COMPOSITE SAMPLE REPORTED 618% FE, 64% SIO2, AND 03% P2O5 AT THE SAME TIME 12 REPRESENTATIVE SAMPLES AVERAGED 596% FE AND 7% SILICA MNATISHI, 40 KM NW OF KABUE, SMALL SEDIMENTARY IRON DEPOSIT CONTAINING BANDED HEMATITE AND MAGNETITE",THESE ARE NOT SIGNIFICANT IRON RESOURCES AT THE PRESENT TIME BECAUSE THEY ARE DISTANT FROM RAIL ACCESS.,164.4113469,2.348733527,
Millberg,-14.0167,28.5833,Central Province,Kapiri Mposhi,Central Province > Kapiri Mposhi,Kapiri Mposhi Area,Kapiri Mposhi,45 KM north of Kabwe (10 KM off railway line),Zinc,Lead,Gold,Active,"ASSUMING THAT THE MINERALIZATION IS CONTINUOUS BETWEEN DRILL HOLES AND ALONG STRIKE (NOT CERTAIN FROM THE MINIMAL INFORMATION AVAILABLE TO DATE), A PRELIMINARY RESOURCE ESTIMATE, CALCULATED BY FREEMAN (1989) FOR THE FOUR LENSES, IS ABOUT 315,000 T @ 3.7% Zn AND 1.7% Pb.",CARBONATE-HOSTED VEIN AND LENS ZINC-LEAD MINERALIZATION,Rock types: DOLOMITE.,183.0422789,2.614889698,
Mantaya And Champande,-14.8333,28.6833,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Maomboshi Group,Mkushi,75 KM NE of Lusaka,Gold,,,Unknown,HYDROTHERMAL QUARTZ VEIN,"MINERALIZATION AT MANTAYA OCCURS WITHIN THE MAOMBOSHI GNEISS FORMATION OF DOMINANTLY GRANITIC COMPOSITION, WITH SUBORDINATE AMPHIBOLITES, QUARTZITES AND SCHISTS OCCURRING WITHIN AN AMPHIBOLITE LENS OCCUPYING THE CORE OF A BROAD ANTICLINORIUM SOME 16 KM LONG BY 1-3 KM WIDE ON THE SOUTH SIDE OF THE MAOMBOSHI RIVER AMPHIBOLITE HOST ROCKS COMPRISE HORNBLENDE/BIOTITE QUARTZO-FELDSPATHIC GNEISSES WITH QUARTZITIC AND BIOTITE-MUSCOVITE GRANITIC GNEISS INTERBEDS THE PETROGRAPHY AND THE WELL DEVELOPED LAYERING ACCORDING TO STUDIES BY KRISHNAN ARE INDICATIVE OF A SEDIMENTARY ORIGIN, POSSIBLY TUFFACEOUS, BUT MORE LIKELY FELDSPATHIC AND CALCAREOUS SANDSTONES SULPHIDE MINERALIZATION IS PREDOMINANTLY PYRITE, WITH MINOR PYRRHOTITE AND RARE CHALCOPYRITE OR BORNITE AND COMMONLY LAYERED PARALLEL TO THE BEDDING AND MAKING UP 50% OF THE ROCK THE DISSEMINATED SULPHIDES ARE BELIEVED TO BE SYNGENETIC AND OCCUR WITHIN DISTINCT ZONES UP TO 238 M OF DRILLED INTERVAL (DRILL HOLE ANGLE 7) IN BOTH FELSIC AND MAFIC LITHOLOGIES THE FOLIATION OF THE ROCKS GENERALLY STRIKES NE AND DIPS 40° TO 60° S QUARTZ VEINS PRESENT IN THESE ROCKS NORMALLY HAVE FREE GOLD, IN THE FORM OF GRAINS, FILMS OR WIRES, OR ASSOCIATED WITH LIMONITE IN CAVITIES, OR EMBEDDED IN BISMUTHINITE GOLD IS ALSO CONCENTRATED WITHIN CHLORITIZED VEIN WALLROCK AND INTERNAL STREAKS THE VEINS ARE COMMONLY CONFORMABLE, OR NEAR CONFORMABLE, TO THE FOLIATION METAMORPHISM IS ALMANDINE-AMPHIBOLITE FACIES RETROGRADED TO GREENSCHIST FACIES","Mineralization: PYRITE, GOLD, IRON; Formation: HEMATITE IRON FORMATION.",271.1344186,3.873348837,
Maomboshi River,-14.7039,28.5247,Lusaka Province,Mkushi,Lusaka Province > Mkushi,Maomboshi Area,Mkushi,80 KM NE of Lusaka,Gold,,,Unknown,ALLUVIAL,"ALLUVIAL OCCURRENCES IRREGULARLY DISTRIBUTED OVER THE AREA, UNDERLAIN BY THE MAOMBOSHI GNEISS UNIT GENERALLY RELATED TO QUARTZ BOULDERS OR FLOAT THE MAOMBOSHI UNIT IS SEPARATED FROM THE MULUNGUSHI BELT TO THE W BY A MAJOR E-STRIKING FAULT STRUCTURE DARLING (NO 190), NO 81 AND NO 72 ARE THE THREE OTHER ALLUVIAL OCCURRENCES IN THE AREA","OF LIMITED EXTENT, BOTH VERTICALLY AND HORIZONTALLY, BELIEVED TO BE SURFACE ENRICHED. FREEMAN BELIEV...",252.1311747,3.601873924,
Iron Cap,-14.6833,28.9167,Central Province,Mkushi,Central Province > Mkushi,Mkushi Area,Mkushi,SE of Kabwe near the mulungushi dam,Gold,,,Unknown,IRON FORMATION OR HYDROTHERMAL QUARTZ VEIN (?),"DESCRIBED AS A QUARTZ REEF, OR QUARTZITE AND IRONSTONE, STRIKING E-W AND DIPPING 45° - 70° N AND TRACEABLE OVER 960 M ALONG STRIKE THE WIDTH VARIES FROM 4 M TO 6 M IN THE EAST TO 06 M TO 09 M IN THE WEST ASSAYS VARIED FROM TRACES TO 22 G AU/T CALCULATIONS OF THE AVERAGE GRADE FROM SURFACE SAMPLES GAVE 158 G AU/T IN THE EASTERN PART AND 11 G AU/T FOR THE WESTERN PART (SLIVA BELIEVES THE LATTER MAY BE OVERSTATED) UNDERGROUND WORKINGS GAVE 38 G AU/T",Minerals: Iron; Formation: Iron Formation,265.4114096,3.791591566,
Greenhills - Nyana Siding Area,-14.6333,28.3333,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Surrounding Nyana Siding About 4 Km To The North And Around To The West About 5.5 Km,Kabwe,16 KM SW of Kabwe,Copper,,,Active,COPPER (BORNITE) IN AMYGDALOIDAL ANDESITE,"THE AREA IS OVERLAIN PREDOMINANTLY BY LOWER ROAN DOLOMITE, PHYLLITES, SCHISTS AND ANDESITIC FLOWS THE COPPER ANOMALIES OCCUR ALONG A 6 KM EAST-WEST-TRENDING DOLOMITIC BELT AND OVER 20 KM OF ANDESITIC VOLCANICS THAT MAY EXTEND SUBSTANTIALLY FURTHER TO THE EAST (PART OF A NE-TRENDING, 160 KM LONG BELT) THE MAIN COPPER MINERALIZATION OCCURS IN SHALLOW-DIPPING ZONES IN THE SCHISTOSE ANDESITE, WHICH STRIKES ENE AND DIPS AT ABOUT 60°NW TO THE EAST OF NYANA SIDING, THE AMYGDALES ARE CONCENTRATED IN 3 ROUGHLY PARALLEL BANDS AT DEPTHS OF 15-23 M, 39-52 M AND 55-67 M BELOW SURFACE (DIFFERENT FLOWS ?) THE NEAR-SURFACE MINERALIZATION CONSISTS PREDOMINANTLY OF BORNITE WITH SUBORDINATE CHALCOPYRITE, CHALCOCITE AND SOME PYRITE WITH POSSIBLE MAGNETITE IN AN AMYGDALOIDAL ANDESITE VEINS OF QUARTZ AND CALCITE WITH ASSOCIATED SULPHIDES ARE MOST COMMON IN THE AREAS OF LARGE AMYGDALES IN THE SILICIFIED DOLOMITE, THE MINERALIZATION IS THOUGHT TO BE MAINLY OXIDE AND DUE TO SUPERGENE ENRICHMENT OTHER OCCURRENCES IN THE GENERAL AREA ARE MUNSINSHI (WEAK CU-NI AT CONTACT BETWEEN BASEMENT AND THE KATANGA) AND CHISAMBA (WEAK DISSEMINATED CU)",THE RELATIVELY SHALLOW DIP OF THESE OCCURRENCES AND THE POSSIBILITY THAT THE MINERALIZATION COULD CO...,239.2849038,3.418355769,
Kamano,-14.8833,28.4833,Lusaka Province,Kabwe,Lusaka Province > Kabwe,Maomboshi Group,Kabwe,80 KM NE of Lusaka,Gold,Copper,,Unknown,HYDROTHERMAL QUARTZ VEIN,"A LONG QUARTZ VEIN CONTAINING IRON OXIDES AND COPPER MINERALS IS TRACEABLE OVER 1,900 M AT AN AVERAGE WIDTH OF 050 M SURFACE SAMPLES ASSAYED FROM TRACES TO 179 G AU/T, REPORTEDLY AVERAGING A QUESTIONABLE 19 G AU/T QUARTZ AND COPPER MINERALS ARE PRESENT ON THE DUMP","TOO LITTLE DATA TO FORM MUCH OF AN OPINION. HOWEVER, THE VEIN IS AURIFEROUS AND THE STRUCTURE SIGNIF...",270.118904,3.858841486,
